SITECODE,LCODE,VISIT,YEAR,TRANSECT,FIRSTHL1,FIRSTHL2,FIRSTHL3A,FIRSTHL3B,FIRSTHL4A,FIRSTHL4B,SECONDHL1,SECONDHL2,SECONDHL3A,SECONDHL3B,SECONDHL4A,SECONDHL4B
T02,02,H,2004,1,D,1,2,6,3,6,D,2,4,5,3,6
T02,02,H,2004,2,D,2,2,6,3,6,,,,,,
T02,02,H,2004,3,D,2,2,6,3,6,D,1,5,11,3,6
T02,02,H,2004,4,D,1,2,6,3,6,C,5,,,3,6
T02,02,H,2004,5,D,1,2,5,3,6,,,,,,
T02,02,H,2004,6,D,3,7,,3,6,C,3,4,9,3,6
T02,02,H,2004,7,D,1,5,11,3,6,D,2,5,11,3,6
T02,02,H,2004,8,D,1,5,11,3,6,C,3,5,11,2,3
T02,02,H,2004,9,D,1,7,11,3,6,G,6,,,2,6
T02,02,H,2004,10,D,1,5,11,2,3,D,3,5,11,2,6
T02,03,H,2004,1,D,3,7,8,3,5,G,6,1,,2,6
T02,03,H,2004,2,D,1,6,7,3,6,,,,,,
T02,03,H,2004,3,D,1,1,6,5,3,C,5,4,7,3,5
T02,03,H,2004,4,D,1,1,5,3,5,,,,,,
T02,03,H,2004,5,D,1,5,7,3,5,,,,,,
T02,03,H,2004,6,C,3,4,9,3,8,G,6,1,,2,6
T02,03,H,2004,7,D,1,1,6,3,5,D,1,6,7,3,5
T02,03,H,2004,8,D,1,1,7,3,5,,,,,,
T02,03,H,2004,9,D,1,5,7,3,5,,,,,,
T02,03,H,2004,10,D,1,5,7,3,5,C,5,3,7,3,8
T05,01,E,2004,1,E,1,1,,3,,A,1,1,8,2,5
T05,01,E,2004,2,E,1,1,,3,,A,1,1,8,2,5
T05,01,E,2004,3,E,1,1,,3,,G,7,1,,2,10
T05,01,E,2004,4,E,1,1,,3,,C,6,1,,1,
T05,01,E,2004,5,E,1,1,,3,,C,6,1,,1,
T05,01,E,2004,6,E,1,1,,3,,,,,,,
T05,01,E,2004,7,E,1,1,,3,,,,,,,
T05,01,E,2004,8,E,1,1,,3,,B,4,1,8,2,5
T05,01,E,2004,9,E,1,1,,3,,,,,,,
T05,01,E,2004,10,E,1,1,,3,,A,1,1,8,2,5
T09,01,H,2004,1,A,1,,4,,3,,,,,,
T09,01,H,2004,2,A,1,,4,,3,,,,,,
T09,01,H,2004,3,A,1,,4,,3,,,,,,
T09,01,H,2004,4,A,1,,4,,3,,,,,,
T09,01,H,2004,5,A,1,,4,2,3,,,,,,
T09,01,H,2004,6,A,1,,4,,2,,,,,,
T09,01,H,2004,7,A,1,,4,,2,,,,,,
T09,01,H,2004,8,A,1,,4,,2,,,,,,
T09,01,H,2004,9,A,1,,4,,2,,,,,,
T09,01,H,2004,10,A,1,,4,,2,,,,,,
T05,01,H,2005,1,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,2005,2,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,2005,3,E,1,1,,3,,G,7,1,,2,10
T05,01,H,2005,4,E,1,1,,3,,C,6,1,,1,
T05,01,H,2005,5,E,1,1,,3,,C,6,1,,1,
T05,01,H,2005,6,E,1,1,,3,,,,,,,
T05,01,H,2005,7,E,1,1,,3,,,,,,,
T05,01,H,2005,8,E,1,1,,3,,B,4,1,8,2,5
T05,01,H,2005,9,E,1,1,,3,,,,,,,
T05,01,H,2005,10,E,1,1,,3,,A,1,1,8,2,5
T09,01,H,2005,1,A,1,,4,,3,,,,,,
T09,01,H,2005,2,A,1,,4,,3,,,,,,
T09,01,H,2005,3,A,1,,4,,3,,,,,,
T09,01,H,2005,4,A,1,,4,,3,,,,,,
T09,01,H,2005,5,A,1,,4,2,3,,,,,,
T09,01,H,2005,6,A,1,,4,,3,,,,,,
T09,01,H,2005,7,A,1,,4,,3,,,,,,
T09,01,H,2005,8,A,1,,4,,3,,,,,,
T09,01,H,2005,9,A,1,,4,,3,,,,,,
T09,01,H,2005,10,A,1,,4,,3,,,,,,
T12,01,H,2005,1,A,2,1,8,1,9,0,0,0,0,0,0
T12,01,H,2005,2,D,3,5,11,1,0,0,0,0,0,0,0
T12,01,H,2005,3,D,3,5,11,1,0,0,0,0,0,0,0
T12,01,H,2005,4,D,3,5,11,1,0,0,0,0,0,0,0
T12,01,H,2005,5,D,1,6,11,1,0,0,0,0,0,0,0
T12,01,H,2005,6,D,3,5,11,1,0,0,0,0,0,0,0
T12,01,H,2005,7,D,3,5,11,1,0,0,0,0,0,0,0
T12,01,H,2005,8,D,3,5,11,1,0,0,0,0,0,0,0
T12,01,H,2005,9,A,2,1,8,2,9,0,0,0,0,0,0
T12,01,H,2005,10,D,1,6,11,1,,B,1,2,8,3,0
T09,01,H,2006,1,A,1,,4,,2,,,,,,
T09,01,H,2006,2,A,1,,4,,2,,,,,,
T09,01,H,2006,3,A,1,,4,,2,,,,,,
T09,01,H,2006,4,A,1,,4,,2,,,,,,
T09,01,H,2006,5,A,1,,4,,3,,,,,,
T09,01,H,2006,6,A,1,,4,,2,,,,,,
T09,01,H,2006,7,A,1,,4,,1,,,,,,
T09,01,H,2006,8,A,1,,4,,1,,,,,,
T09,01,H,2006,9,A,1,,4,,1,,,,,,
T09,01,H,2006,10,A,1,,4,,1,,,,,,
T10,01,H,2006,1,C,1,9,,5,,,,,,,
T10,01,H,2006,2,C,1,9,,5,,,,,,,
T10,01,H,2006,3,C,1,9,,5,,,,,,,
T10,01,H,2006,4,C,1,9,,5,,,,,,,
T10,01,H,2006,5,C,1,9,,1,,A,3,4,8,2,5
T10,01,H,2006,6,A,1,4,5,3,5,,,,,,
T10,01,H,2006,7,C,1,9,,5,,,,,,,
T10,01,H,2006,8,C,1,9,,5,,,,,,,
T10,01,H,2006,9,B,2,3,8,3,7,,,,,,
T10,01,H,2006,10,C,1,9,,5,,,,,,,
T10,02,H,2006,1,C,1,9,,5,,,,,,,
T10,02,H,2006,2,C,1,9,,5,,,,,,,
T10,02,H,2006,3,C,1,9,,5,,F,3,1,,1,
T10,02,H,2006,4,C,1,9,,5,,,,,,,
T10,02,H,2006,5,C,1,9,,5,,B,2,1,8,2,7
T10,02,H,2006,6,B,2,1,8,2,3,E,2,4,,1,
T10,02,H,2006,7,B,2,1,8,2,3,E,2,4,,1,
T10,02,H,2006,8,C,1,9,,5,,E,2,4,,1,
T10,02,H,2006,9,B,2,1,8,2,3,E,2,4,,1,
T10,02,H,2006,10,C,1,9,,5,,E,2,4,,1,
T09,01,H,2007,1,A,1,,4,,2,,,,,,
T09,01,H,2007,2,A,1,,4,,2,,,,,,
T09,01,H,2007,3,A,1,,4,,2,,,,,,
T09,01,H,2007,4,A,1,,4,,2,,,,,,
T09,01,H,2007,5,A,1,,4,,3,,,,,,
T09,01,H,2007,6,A,1,,4,,2,,,,,,
T09,01,H,2007,7,A,1,,4,,1,,,,,,
T09,01,H,2007,8,A,1,,4,,1,,,,,,
T09,01,H,2007,9,A,1,,4,,1,,,,,,
T09,01,H,2007,10,A,1,,4,,1,,,,,,
T09,01,H,2008,1,A,1,,4,,3,,,,,,
T09,01,H,2008,2,A,1,,4,,3,,,,,,
T09,01,H,2008,3,A,1,,4,,3,,,,,,
T09,01,H,2008,4,A,1,,4,,3,,,,,,
T09,01,H,2008,5,A,1,,4,2,3,,,,,,
T09,01,H,2008,6,A,1,,4,,2,,,,,,
T09,01,H,2008,7,A,1,,4,,2,,,,,,
T09,01,H,2008,8,A,1,,4,,2,,,,,,
T09,01,H,2008,9,A,1,,4,,3,,,,,,
T09,01,H,2008,10,A,1,,4,,3,,,,,,
T09,01,H,2009,1,A,1,,4,,3,,,,,,
T09,01,H,2009,2,A,1,,4,,3,,,,,,
T09,01,H,2009,3,A,1,,4,,3,,,,,,
T09,01,H,2009,4,A,1,,4,,3,,,,,,
T09,01,H,2009,5,A,1,,4,2,3,,,,,,
T09,01,H,2009,6,A,1,,4,,2,,,,,,
T09,01,H,2009,7,A,1,,4,,2,,,,,,
T09,01,H,2009,8,A,1,,4,,2,,,,,,
T09,01,H,2009,9,A,1,,4,,2,,,,,,
T09,01,H,2009,10,A,1,,4,,2,,,,,,
